PrimaryKey,DataType,Value,StatusCode,SourceTimeStamp,ServerTimeStamp
42,0x0001,false,0x00000000,2025-12-14T15:36:21.710Z,2025-12-14T15:36:21.710Z
41,0x0001,false,0x00000000,2025-12-14T15:36:21.710Z,2025-12-14T15:36:21.710Z
40,0x0001,false,0x00000000,2025-12-14T15:36:21.710Z,2025-12-14T15:36:21.710Z
39,0x000a,-4.10156,0x00000000,2025-12-14T15:36:21.710Z,2025-12-14T15:36:21.710Z
39,0x000a,-2.0978,0x00000000,2025-12-14T15:36:21.813Z,2025-12-14T15:36:21.813Z
38,0x000a,-2.99841,0x00000000,2025-12-14T15:36:21.710Z,2025-12-14T15:36:21.710Z
38,0x000a,-1.50101,0x00000000,2025-12-14T15:36:21.813Z,2025-12-14T15:36:21.813Z
37,0x000a,-5.40003,0x00000000,2025-12-14T15:36:21.710Z,2025-12-14T15:36:21.710Z
37,0x000a,-2.59693,0x00000000,2025-12-14T15:36:21.813Z,2025-12-14T15:36:21.813Z
36,0x000a,-2.13476,0x00000000,2025-12-14T15:36:21.710Z,2025-12-14T15:36:21.710Z
36,0x000a,-3.11816,0x00000000,2025-12-14T15:36:21.813Z,2025-12-14T15:36:21.813Z
35,0x000a,-1.56345,0x00000000,2025-12-14T15:36:21.710Z,2025-12-14T15:36:21.710Z
35,0x000a,-2.28093,0x00000000,2025-12-14T15:36:21.813Z,2025-12-14T15:36:21.813Z
34,0x000a,-2.8005,0x00000000,2025-12-14T15:36:21.710Z,2025-12-14T15:36:21.710Z
34,0x000a,-4.10026,0x00000000,2025-12-14T15:36:21.813Z,2025-12-14T15:36:21.813Z
33,0x000a,0,0x00000000,2025-12-14T15:36:21.710Z,2025-12-14T15:36:21.710Z
32,0x000a,0,0x00000000,2025-12-14T15:36:21.710Z,2025-12-14T15:36:21.710Z
31,0x000a,0,0x00000000,2025-12-14T15:36:21.710Z,2025-12-14T15:36:21.710Z
30,0x0004,1000,0x00000000,2025-12-14T15:36:21.710Z,2025-12-14T15:36:21.710Z
29,0x0004,1000,0x00000000,2025-12-14T15:36:21.710Z,2025-12-14T15:36:21.710Z
28,0x0004,1000,0x00000000,2025-12-14T15:36:21.710Z,2025-12-14T15:36:21.710Z
27,0x0001,false,0x00000000,2025-12-14T15:36:21.710Z,2025-12-14T15:36:21.710Z
26,0x000a,2.72967,0x00000000,2025-12-14T15:36:21.710Z,2025-12-14T15:36:21.710Z
26,0x000a,2.51989,0x00000000,2025-12-14T15:36:21.813Z,2025-12-14T15:36:21.813Z
25,0x000a,2.82986,0x00000000,2025-12-14T15:36:21.710Z,2025-12-14T15:36:21.710Z
25,0x000a,2.67976,0x00000000,2025-12-14T15:36:21.813Z,2025-12-14T15:36:21.813Z
24,0x000a,2.55968,0x00000000,2025-12-14T15:36:21.710Z,2025-12-14T15:36:21.710Z
24,0x000a,2.29999,0x00000000,2025-12-14T15:36:21.813Z,2025-12-14T15:36:21.813Z
23,0x000a,-2.13476,0x00000000,2025-12-14T15:36:21.710Z,2025-12-14T15:36:21.710Z
23,0x000a,-3.11816,0x00000000,2025-12-14T15:36:21.813Z,2025-12-14T15:36:21.813Z
22,0x000a,-1.56345,0x00000000,2025-12-14T15:36:21.708Z,2025-12-14T15:36:21.708Z
22,0x000a,-2.28093,0x00000000,2025-12-14T15:36:21.809Z,2025-12-14T15:36:21.809Z
21,0x000a,-2.8005,0x00000000,2025-12-14T15:36:21.708Z,2025-12-14T15:36:21.708Z
21,0x000a,-4.10026,0x00000000,2025-12-14T15:36:21.809Z,2025-12-14T15:36:21.809Z
20,0x0001,false,0x00000000,2025-12-14T15:36:21.708Z,2025-12-14T15:36:21.708Z
19,0x0001,false,0x00000000,2025-12-14T15:36:21.708Z,2025-12-14T15:36:21.708Z
