SourceTimeStamp,AVG_SPEED,JOB_DONE,x_bwd,x_disturbance,x_done,x_filt_speed,x_fwd,x_pos,x_pos_AI,x_sp_pos,x_speed,y_bwd,y_disturbance,y_done,y_filt_speed,y_fwd,y_pos,y_pos_AI,y_sp_pos,y_speed,z_disturbance,z_done,z_dwn,z_filt_speed,z_pos,z_pos_AI,z_sp_pos,z_speed,z_up,client_id,has_fault
2025-12-14 15:09:51.692000+00:00,,,,,,-0.00215,,,,,,,,,-2.32458,,,13906.0,,,,,,-2.779,,,,,,A,1
2025-12-14 15:09:51.793000+00:00,,,,,,,,,,,,,,,,,,13741.0,,,,,,,,,,,,A,1
2025-12-14 15:09:51.891000+00:00,-1.3895,,,,,-0.00107,,,,,,,,,-2.0629,,,,,-0.59679,,1.0,,-1.3895,,,,,,A,1
2025-12-14 15:09:51.992000+00:00,-0.69475,,,,,-0.00054,,,,,,,,,-1.32984,,,,,0.0,,,,-0.69475,,,,,,A,1
2025-12-14 15:09:52.090000+00:00,-0.34738,,,,,-0.00027,,,,,,,,,-0.66492,,,,,,,,,-0.34738,,,,,,A,1
2025-12-14 15:09:52.192000+00:00,-0.17369,,1.0,,0.0,-0.00013,,,,0.0,,1.0,,,-0.33246,,,,0.0,,,0.0,1.0,-0.17369,,,0.0,,,A,1
2025-12-14 15:09:52.289000+00:00,-0.08684,,,,,-7e-05,,,,,,,,,-0.16623,,,,,,,,,-0.08684,,,,,,A,1
2025-12-14 15:09:52.390000+00:00,-0.04342,,,,,-3e-05,,4.74971,13132.0,,-1.09954,,,,-0.08312,,4.95985,13713.0,,-0.10128,,,,-0.04342,4.76997,13188.0,,-0.3002,,A,1
2025-12-14 15:09:52.491000+00:00,-0.17181,,,,,-0.54979,,4.41985,12220.0,,-3.29861,,,,-0.0922,,,,,0.0,,,,-0.17181,4.50991,12469.0,,-2.60055,,A,1
2025-12-14 15:09:52.589000+00:00,,,,,,,,4.1399,11446.0,,,,,,,,,,,,,,,,4.29977,11888.0,,,,A,1
2025-12-14 15:09:52.692000+00:00,-1.38618,,,,,-1.9242,,3.86972,10699.0,,-2.79948,,,,-0.0461,,4.94973,13685.0,,,,,,-1.38618,4.08999,11308.0,,-2.10142,,A,1
2025-12-14 15:09:52.791000+00:00,-1.7438,,,,,-2.36184,,3.58977,9925.0,,-5.5013,,,,-0.02305,,,,,-0.10127,,,,-1.7438,3.86972,10699.0,,-4.30049,,A,1
2025-12-14 15:09:52.891000+00:00,-3.02215,,,,,-3.93157,,3.30982,9151.0,,-2.79948,,,,-0.06216,,,,,0.0,,,,-3.02215,3.65994,10119.0,,-2.0978,,A,1
2025-12-14 15:09:52.992000+00:00,-2.55997,,,,,-3.36552,,3.03964,8404.0,,-2.70182,,,,-0.03108,,4.93996,13658.0,,-0.09766,,,,-2.55997,3.4498,9538.0,,-2.10142,,A,1
2025-12-14 15:09:53.091000+00:00,-2.3307,,,,,-3.03367,,2.75969,7630.0,,-2.79948,,,,-0.06437,,,,,0.0,,,,-2.3307,3.22989,8930.0,,-2.19907,,A,1
2025-12-14 15:09:53.192000+00:00,-2.26488,,,,,-2.91658,,2.48987,6884.0,,-2.6982,,,,-0.03218,,,,,,,,,-2.26488,3.01975,8349.0,,-2.10142,,A,1
2025-12-14 15:09:53.291000+00:00,-2.18315,,,,,-2.80739,,2.14988,5944.0,,-3.39988,,,,-0.01609,,4.92983,13630.0,,-0.10128,,,,-2.18315,2.75969,7630.0,,-2.60055,,A,1
2025-12-14 15:09:53.390000+00:00,-2.39185,,,,,-3.10364,,1.8797,5197.0,,,,,,-0.05868,,,,,,,,,-2.39185,2.54991,7050.0,,,,A,1
2025-12-14 15:09:53.492000+00:00,,,,,,,,1.59975,4423.0,,-2.70182,,,,,,4.9197,13602.0,,0.0,,,,,2.33977,6469.0,,-2.0978,,A,1
2025-12-14 15:09:53.591000+00:00,-2.24483,,,,,-2.90273,,1.32993,3677.0,,-2.79948,,,,-0.02934,,,,,-0.10127,,,,-2.24483,2.12999,5889.0,,-2.10142,,A,1
2025-12-14 15:09:53.691000+00:00,-2.17312,,,,,-2.8511,,1.04999,2903.0,,-2.69821,,,,-0.06531,,,,,0.0,,,,-2.17312,1.90972,5280.0,,-2.0978,,A,1
2025-12-14 15:09:53.793000+00:00,-2.13546,,,,,-2.77466,,0.71976,1990.0,,-2.79948,,,,-0.03265,,4.90994,13575.0,,,,,,-2.13546,1.65979,4589.0,,-2.20269,,A,1
2025-12-14 15:09:53.890000+00:00,-2.16908,,,,,-2.78707,,0.43982,1216.0,,-6.10171,,,,-0.01633,,,,,-0.09766,,,,-2.16908,1.43989,3981.0,,-4.69835,,A,1
2025-12-14 15:09:53.993000+00:00,-3.43371,,0.0,,,-4.44439,,0.16999,470.0,,-2.69821,,,,-0.05699,,,,,0.0,,,,-3.43371,1.22975,3400.0,,-2.10142,,A,1
2025-12-14 15:09:54.092000+00:00,-2.76757,,,,,-3.5713,,0.0,0.0,,-1.69994,,0.0,,-0.0285,,4.89981,13547.0,,-0.10128,,,,-2.76757,1.01997,2820.0,,-2.0978,,A,1
2025-12-14 15:09:54.190000+00:00,-2.43268,,,,,-2.63562,,,,,,,,,-0.06489,,4.86979,13464.0,,,,,,-2.43268,0.7997,2211.0,,,,A,1
